Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2017,YR2017,0.387,4.113,0.447,4.754,0.104,1.11,4.072,3.71,4.706,1.099,0.502,0.68,0.478,0.64,0.53,0.71,0.165,0.22,0.743,1.652,2.22,0.123,0.117,0.13,0.041,0.406,0.182,..,..,..,..,..,..,63873
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2018,YR2018,..,3.881,..,..,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63919
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2019,YR2019,..,3.826,..,..,..,..,3.788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63913
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2020,YR2020,..,3.653,..,..,..,..,3.616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63903
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2017,YR2017,0.753,4.427,0.481,2.83,0.18,1.058,4.383,4.19,2.802,1.047,1.191,2.21,1.122,2.08,0.427,0.79,0.164,0.3,0.54,0.94,1.74,0.272,0.256,0.097,0.037,0.214,0.123,1.3,32.7,57.6,0,0.2,0.4,745563
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2018,YR2018,..,4.633,..,..,..,..,4.587,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.2,..,..,0.4,754396
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2019,YR2019,..,4.76,..,..,..,..,4.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,..,..,0.4,763094
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2020,YR2020,..,5.08,..,..,..,..,5.029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53,..,..,0.4,771612
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2017,YR2017,0.624,3.587,0.586,3.372,0.258,1.483,3.551,2.42,3.338,1.468,1.046,1.34,0.411,0.53,0.53,0.68,0.14,0.18,0.781,0.644,0.82,0.295,0.116,0.149,0.039,0.181,0.22,9.3,28,30.2,1,3.1,3.4,11192853
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2018,YR2018,..,3.685,..,..,..,..,3.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.6,..,..,3.3,11353140
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2019,YR2019,..,3.807,..,..,..,..,3.769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.4,..,..,2.9,11513102
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2020,YR2020,..,3.793,..,..,..,..,3.755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.7,..,..,2.9,11673029
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2017,YR2017,..,..,1.002,3.363,0.225,0.754,..,..,3.329,0.746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2017,YR2017,0.487,3.886,0.386,3.082,0.087,0.698,3.847,5.57,3.051,0.691,0.921,1.71,0.916,1.7,0.512,0.95,0.132,0.24,0.54,0.825,1.53,0.239,0.238,0.133,0.034,0.214,0.14,0,2.3,4.6,0,0.1,0.2,3351534
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2018,YR2018,..,3.929,..,..,..,..,3.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,0.1,3323929
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2019,YR2019,..,3.934,..,..,..,..,3.895,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,0.1,3300998
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2020,YR2020,..,4.035,..,..,..,..,3.995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,0.1,3280815
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2017,YR2017,0.274,3.659,0.17,2.273,0.038,0.51,3.622,7.17,2.25,0.505,1.097,2.81,0.795,2.04,0.402,1.03,0.142,0.36,0.39,0.796,2.04,0.303,0.219,0.111,0.039,0.22,0.108,1.4,45.1,63.8,0,1,1.4,2205076
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2018,YR2018,..,3.611,..,..,..,..,3.575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.5,..,..,1.4,2254067
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2019,YR2019,..,3.627,..,..,..,..,3.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.8,..,..,1.4,2303703
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2020,YR2020,..,3.738,..,..,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.4,..,..,1.4,2351625
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,BRA,2017,YR2017,0.634,2.837,0.599,2.684,0.191,0.857,2.809,3.31,2.657,0.848,0.635,1.45,0.46,1.05,0.742,1.69,0.067,0.15,0.439,0.465,1.06,0.226,0.164,0.264,0.024,0.166,0.156,3.2,16.9,18.3,6.6,35.2,38.1,207833825
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,BRA,2018,YR2018,..,2.828,..,..,..,..,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2,..,..,36,209469320
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,BRA,2019,YR2019,..,2.911,..,..,..,..,2.882,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5,..,..,37,211049519
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,BRA,2020,YR2020,..,3.115,..,..,..,..,3.084,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,..,..,40.4,212559409
Food Prices for Nutrition 1.0,FPN 1.0,Brazil,BRA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,British Virgin Islands,VGB,2017,YR2017,0.358,3.268,0.338,3.09,0.173,1.579,3.235,2.07,3.059,1.563,0.828,1.02,0.425,0.53,0.237,0.29,0.152,0.19,0.808,0.785,0.97,0.256,0.131,0.073,0.047,0.243,0.25,..,..,..,..,..,..,29567
Food Prices for Nutrition 1.0,FPN 1.0,British Virgin Islands,VGB,2018,YR2018,..,3.185,..,..,..,..,3.153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29795
Food Prices for Nutrition 1.0,FPN 1.0,British Virgin Islands,VGB,2019,YR2019,..,3.346,..,..,..,..,3.313,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30033
Food Prices for Nutrition 1.0,FPN 1.0,British Virgin Islands,VGB,2020,YR2020,..,3.371,..,..,..,..,3.337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30237
Food Prices for Nutrition 1.0,FPN 1.0,British Virgin Islands,VGB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Brunei Darussalam,BRN,2017,YR2017,0.772,4.168,0.445,2.4,0.143,0.77,4.126,5.41,2.376,0.762,1.123,1.67,0.894,1.33,0.405,0.6,0.098,0.15,0.674,0.932,1.38,0.272,0.217,0.098,0.024,0.226,0.163,..,..,..,..,..,..,424481
Food Prices for Nutrition 1.0,FPN 1.0,Brunei Darussalam,BRN,2018,YR2018,..,4.306,..,..,..,..,4.263,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,428960
Food Prices for Nutrition 1.0,FPN 1.0,Brunei Darussalam,BRN,2019,YR2019,..,4.371,..,..,..,..,4.327,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,433296
Food Prices for Nutrition 1.0,FPN 1.0,Brunei Darussalam,BRN,2020,YR2020,..,4.449,..,..,..,..,4.405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,437483
Food Prices for Nutrition 1.0,FPN 1.0,Brunei Darussalam,BRN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,BGR,2017,YR2017,0.576,3.818,0.422,2.796,0.077,0.509,3.78,7.5,2.768,0.504,0.963,1.91,0.959,1.9,0.478,0.95,0.101,0.2,0.504,0.774,1.54,0.255,0.254,0.126,0.027,0.205,0.133,0.4,6.4,11.3,0,0.5,0.8,7075947
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,BGR,2018,YR2018,..,3.898,..,..,..,..,3.859,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,..,..,0.6,7025037
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,BGR,2019,YR2019,..,3.935,..,..,..,..,3.896,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,..,..,0.6,6975761
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,BGR,2020,YR2020,..,4.149,..,..,..,..,4.108,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,..,..,0.6,6934015
Food Prices for Nutrition 1.0,FPN 1.0,Bulgaria,BGR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,BFA,2017,YR2017,1.997,3.205,1.598,2.564,0.361,0.58,3.173,5.53,2.538,0.574,1.145,2.61,0.354,0.81,0.127,0.29,0.19,0.43,0.439,0.917,2.09,0.361,0.112,0.04,0.06,0.289,0.138,7.5,79,85.1,1.4,15.2,16.3,19193236
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,BFA,2018,YR2018,..,3.329,..,..,..,..,3.296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.2,..,..,16.2,19751466
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,BFA,2019,YR2019,..,3.273,..,..,..,..,3.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.4,..,..,16.1,20321383
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,BFA,2020,YR2020,..,3.379,..,..,..,..,3.345,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.1,..,..,16.7,20903278
Food Prices for Nutrition 1.0,FPN 1.0,Burkina Faso,BFA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,BDI,2017,YR2017,3.412,3.018,1.814,1.605,0.808,0.715,2.988,4.22,1.589,0.708,1.112,1.81,0.447,0.73,0.174,0.28,0.107,0.17,0.615,0.532,0.87,0.372,0.15,0.058,0.036,0.178,0.206,56.1,89.6,97.5,6.1,9.7,10.6,10827010
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,BDI,2018,YR2018,..,2.832,..,..,..,..,2.804,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97,..,..,10.8,11175379
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,BDI,2019,YR2019,..,2.811,..,..,..,..,2.783,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.9,..,..,11.2,11530577
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,BDI,2020,YR2020,..,2.973,..,..,..,..,2.943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.2,..,..,11.6,11890781
Food Prices for Nutrition 1.0,FPN 1.0,Burundi,BDI,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,CPV,2017,YR2017,0.753,3.392,0.565,2.547,0.139,0.626,3.358,5.42,2.522,0.62,0.779,2.28,0.823,2.41,0.281,0.82,0.098,0.29,0.342,1.036,3.03,0.232,0.245,0.084,0.029,0.309,0.102,0.3,27.6,42.1,0,0.1,0.2,537499
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,CPV,2018,YR2018,..,3.447,..,..,..,..,3.413,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.6,..,..,0.2,543764
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,CPV,2019,YR2019,..,3.519,..,..,..,..,3.484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.6,..,..,0.2,549936
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,CPV,2020,YR2020,..,3.599,..,..,..,..,3.563,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.1,..,..,0.2,555988
Food Prices for Nutrition 1.0,FPN 1.0,Cabo Verde,CPV,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Cambodia,KHM,2017,YR2017,0.933,3.655,0.712,2.789,0.256,1.003,3.618,3.64,2.761,0.993,1.226,2.44,0.526,1.05,0.422,0.84,0.15,0.3,0.503,0.791,1.57,0.339,0.145,0.117,0.041,0.219,0.139,..,..,..,..,..,..,16009413
Food Prices for Nutrition 1.0,FPN 1.0,Cambodia,KHM,2018,YR2018,..,3.743,..,..,..,..,3.706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16249795
Food Prices for Nutrition 1.0,FPN 1.0,Cambodia,KHM,2019,YR2019,..,3.816,..,..,..,..,3.778,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16486542
Food Prices for Nutrition 1.0,FPN 1.0,Cambodia,KHM,2020,YR2020,..,3.927,..,..,..,..,3.888,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16718971
Food Prices for Nutrition 1.0,FPN 1.0,Cambodia,KHM,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,CMR,2017,YR2017,1.128,2.642,0.89,2.086,0.385,0.903,2.616,2.93,2.065,0.894,0.837,1.74,0.447,0.93,0.144,0.3,0.116,0.24,0.48,0.592,1.23,0.32,0.171,0.055,0.044,0.226,0.183,16.8,50.7,60.9,4.1,12.5,15,24566070
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,CMR,2018,YR2018,..,2.711,..,..,..,..,2.684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.4,..,..,15.2,25216261
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,CMR,2019,YR2019,..,2.772,..,..,..,..,2.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.2,..,..,15.6,25876387
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,CMR,2020,YR2020,..,2.836,..,..,..,..,2.808,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.7,..,..,16.1,26545864
Food Prices for Nutrition 1.0,FPN 1.0,Cameroon,CMR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Canada,CAN,2017,YR2017,0.451,2.892,0.333,2.132,0.106,0.68,2.863,4.25,2.111,0.673,0.766,1.78,0.673,1.57,0.31,0.72,0.078,0.18,0.43,0.605,1.41,0.268,0.235,0.108,0.027,0.211,0.15,0,0.5,0.7,0,0.2,0.3,36545295
Food Prices for Nutrition 1.0,FPN 1.0,Canada,CAN,2018,YR2018,..,2.94,..,..,..,..,2.911,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.3,37065178
Food Prices for Nutrition 1.0,FPN 1.0,Canada,CAN,2019,YR2019,..,2.947,..,..,..,..,2.918,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.2,37593384
Food Prices for Nutrition 1.0,FPN 1.0,Canada,CAN,2020,YR2020,..,3.038,..,..,..,..,3.008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.3,38005238
Food Prices for Nutrition 1.0,FPN 1.0,Canada,CAN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Cayman Islands,CYM,2017,YR2017,0.469,2.958,0.358,2.254,0.175,1.106,2.928,2.67,2.231,1.095,0.585,1.05,0.654,1.18,0.257,0.46,0.125,0.22,0.556,0.75,1.35,0.2,0.223,0.088,0.043,0.256,0.19,..,..,..,..,..,..,63382
Food Prices for Nutrition 1.0,FPN 1.0,Cayman Islands,CYM,2018,YR2018,..,2.903,..,..,..,..,2.874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64172
Food Prices for Nutrition 1.0,FPN 1.0,Cayman Islands,CYM,2019,YR2019,..,2.741,..,..,..,..,2.714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64948
Food Prices for Nutrition 1.0,FPN 1.0,Cayman Islands,CYM,2020,YR2020,..,2.793,..,..,..,..,2.765,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65720
Food Prices for Nutrition 1.0,FPN 1.0,Cayman Islands,CYM,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,CAF,2017,YR2017,2.761,3.458,1.376,1.723,0.823,1.031,3.423,3.35,1.706,1.021,1.284,2.45,0.345,0.66,0.141,0.27,0.174,0.33,0.525,0.955,1.82,0.375,0.101,0.041,0.051,0.279,0.153,70.3,85.4,95.4,3.2,3.9,4.4,4596023
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,CAF,2018,YR2018,..,3.542,..,..,..,..,3.507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.2,..,..,4.4,4666375
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,CAF,2019,YR2019,..,3.606,..,..,..,..,3.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.1,..,..,4.5,4745179
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,CAF,2020,YR2020,..,3.652,..,..,..,..,3.615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.1,..,..,4.6,4829764
Food Prices for Nutrition 1.0,FPN 1.0,Central African Republic,CAF,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Chad,TCD,2017,YR2017,1.458,2.86,0.907,1.779,0.365,0.716,2.831,3.99,1.761,0.709,0.882,1.77,0.39,0.78,0.187,0.38,0.172,0.35,0.497,0.703,1.41,0.312,0.138,0.066,0.061,0.248,0.176,13.9,65,84.9,2.1,9.8,12.8,15016761
Food Prices for Nutrition 1.0,FPN 1.0,Chad,TCD,2018,YR2018,..,2.756,..,..,..,..,2.728,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.3,..,..,12.9,15477727
Food Prices for Nutrition 1.0,FPN 1.0,Chad,TCD,2019,YR2019,..,2.686,..,..,..,..,2.659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.9,..,..,13.1,15946882
Food Prices for Nutrition 1.0,FPN 1.0,Chad,TCD,2020,YR2020,..,2.849,..,..,..,..,2.821,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.4,..,..,13.7,16425859
Food Prices for Nutrition 1.0,FPN 1.0,Chad,TCD,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Chile,CHL,2017,YR2017,0.491,3.084,0.35,2.201,0.104,0.651,3.053,4.74,2.179,0.644,0.765,2.17,0.619,1.76,0.261,0.74,0.116,0.33,0.352,0.94,2.67,0.251,0.203,0.085,0.038,0.308,0.115,0.2,1.2,3.4,0,0.2,0.6,18470435
Food Prices for Nutrition 1.0,FPN 1.0,Chile,CHL,2018,YR2018,..,3.212,..,..,..,..,3.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,..,..,0.6,18729166
Food Prices for Nutrition 1.0,FPN 1.0,Chile,CHL,2019,YR2019,..,3.245,..,..,..,..,3.213,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3,..,..,0.6,18952035
Food Prices for Nutrition 1.0,FPN 1.0,Chile,CHL,2020,YR2020,..,3.436,..,..,..,..,3.402,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.8,..,..,0.7,19116209
Food Prices for Nutrition 1.0,FPN 1.0,Chile,CHL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
